Reporting org id,Reporting org name,Reporting org type,Provider org id,Provider org name,Provider org type,Receiver org id,Receiver org name,Receiver org type,Humanitarian?,Strict?,Transaction direction,Total money
#org+id+reporting,#org+name+reporting,#org+reporting+type,#org+id+provider,#org+name+provider,#org+type+provider,#org+id+receiver,#org+name+receiver,#org+type+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_direction,#value+total
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,pa000900000598,ACCIONA MICROENERGÍA PANAMÁ,,0,1,outgoing,540320
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,,ACNUR - Oficina del Alto Comisionad,,1,1,outgoing,579612
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g59437756,ACP - Associació Catalana per la Pa,,0,1,outgoing,2231662
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,09081310971017,ADES Santa Marta,,0,1,outgoing,109458
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g82484882,"AIDA - Ayuda, Intercambio y Desarro",,0,1,outgoing,337548
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g28831915,AIETI: Asociación de Investigación,,0,1,outgoing,370170
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g78426558,ALIANZA POR LA SOLIDARIDAD,,0,1,outgoing,5211671
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,cr000900000867,ALIARSE,,0,1,outgoing,221901
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g81958092,ALMACIGA GRUPO DE TRABAJO INTERCULTURAL,,0,1,outgoing,296555
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,mr000900000765,AMAD,,0,1,outgoing,346927
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,ec000900000359,AME,,0,1,outgoing,85920
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g28674125,AMIGOS DE LA TIERRA ESPAÑA,,0,1,outgoing,847766
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,20531549211,AMPA,,0,1,outgoing,209883
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,mz000900000820,AMTM,,0,1,outgoing,710887
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g60192614,ARQUITECTOS SIN FRONTERAS-ESPAÑA,,0,1,outgoing,370434
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g80176845,ASAMBLEA DE COOPERACIÓN POR LA PAZ,,0,1,outgoing,742804
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g14236186,ASOC. POR LA PAZ Y EL DESARROLLO,,0,1,outgoing,359264
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g84483106,ASOCIACIÓN AMIGOS DE SILVA,,0,1,outgoing,336325
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g31798002,ASOCIACIÓN DE TRABAJADORES Y TÉCNICOS SIN FRONTERAS MUGARIK GABEKO LANGLILE ETA TED,,0,1,outgoing,550664
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g42101931,ASOCIACIÓN ONGD CIVES MUNDI,,0,1,outgoing,1735431
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,20510313934,ASOCIACIÓN PERUANA DE PRODUCTORES,,0,1,outgoing,373436
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g78885639,ASOCIACIÓN PROYDE,,0,1,outgoing,428050
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g48461065,ASOCIACIÓN ZABALKETA DE COOPERACIÓN Y DESARROLLO,,0,1,outgoing,1154379
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g42161539,ASOCICIÓN TIERRA SIN MALES,,0,1,outgoing,183756
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,f65202624,"AZIMUT 360, SCCL",,0,1,outgoing,676941
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,738701226,Action Against Hunger,,0,1,outgoing,171368
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,uy000a4541211a,Agencia Uruguaya Cooperación Intern,,0,1,outgoing,313200
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,00900000738,AgenciaSE,,0,1,outgoing,505215
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,mz000900000850,Alcaldía de Boane,,0,1,outgoing,135884
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,sn000900000800,Alcaldía de Dakar,,0,1,outgoing,158990
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,mz000900000849,Alcaldía de Maputo,,0,1,outgoing,219188
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,mz000900000851,Alcaldía de Matola,,0,1,outgoing,176813
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,sn000900000801,Alcaldía de Pikine,,0,1,outgoing,300722
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g11681616,Asociación Madre Coraje,,0,1,outgoing,336810
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,06143007871020,Asociación PROVIDA,,0,1,outgoing,140392
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g81375479,Asociación Paz con Dignidad,,0,1,outgoing,825199
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,a27005201,Banco Interamericano de Desarrollo,,0,1,outgoing,15382227
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,r2800560a,CARITAS ESPAÑOLA,,0,1,outgoing,5665704
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,hn000900000811,CARITAS HONDURAS,,0,1,outgoing,706218
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g31568892,CECJ - COORDINADORA ESTATAL DE COME,,0,1,outgoing,135675
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,00900000736,CEDAI,,0,1,outgoing,1232006
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,ot000a1788901f,CEDEAO - Comunidad Económica de Est,,0,1,outgoing,92061
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g96284971,CENTRO DE ESTUDIOS RURALES Y AGRICULTURA INTERNACIONAL,,0,1,outgoing,3888037
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,g78919271,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,,0,1,outgoing,6601175
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,20481234574,CENTRO ECUMÉNICO DE PROMOCIÓN,,0,1,outgoing,268193
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,b66245168,"CENTRO GLOBALCAD 3.0, SL",,0,1,outgoing,344655
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,ec000900000475,CESA,,0,1,outgoing,1059401
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation,10,,,,pu000900000583,CIIFEN,,0,1,outgoing,2179016
